"Site" "refs" "size"
"382" "Tres_Marias" "1" -5.1
"383" "Tres_Marias" "1" -5
"384" "Tres_Marias" "1" -4.9
"385" "Tres_Marias" "1" -4.8
"386" "Tres_Marias" "1" -4.7
"387" "Tres_Marias" "1" -4.6
"388" "Tres_Marias" "1" -4.5
"389" "Tres_Marias" "1" -4.4
"390" "Tres_Marias" "1" -4.3
"391" "Tres_Marias" "1" -4.2
"392" "Tres_Marias" "1" -4.1
"393" "Tres_Marias" "1" -4
"394" "Tres_Marias" "1" -3.9
"395" "Tres_Marias" "1" -3.8
"396" "Tres_Marias" "1" -3.7
"397" "Tres_Marias" "1" -3.6
"398" "Tres_Marias" "1" -3.5
"399" "Tres_Marias" "1" -3.4
"400" "Tres_Marias" "1" -3.3
"401" "Tres_Marias" "1" -3.2
"402" "Tres_Marias" "1" -3.1
"403" "Tres_Marias" "1" -3
"404" "Tres_Marias" "1" -2.9
"405" "Tres_Marias" "1" -2.8
"406" "Tres_Marias" "1" -2.7
"407" "Tres_Marias" "1" -2.6
"408" "Tres_Marias" "1" -2.5
"409" "Tres_Marias" "1" -2.4
"410" "Tres_Marias" "1" -2.3
"411" "Tres_Marias" "1" -2.2
"412" "Tres_Marias" "1" -2.1
"413" "Tres_Marias" "1" -2
"414" "Tres_Marias" "1" -1.9
"415" "Tres_Marias" "1" -1.8
"416" "Tres_Marias" "1" -1.7
"417" "Tres_Marias" "1" -1.6
"418" "Tres_Marias" "0.65875" -1.5
"419" "Tres_Marias" "0.539960773115709" -1.4
"420" "Tres_Marias" "0.407481709664985" -1.3
"421" "Tres_Marias" "0.278487629401129" -1.2
"422" "Tres_Marias" "0.170144608833317" -1.1
"423" "Tres_Marias" "0.0913216252879852" -1
"424" "Tres_Marias" "0.0410129084963169" -0.899999999999999
"425" "Tres_Marias" "0.0126152719247967" -0.799999999999999
"426" "Tres_Marias" "0" -0.699999999999999
"427" "Tres_Marias" "0" -0.6
"428" "Tres_Marias" "0" -0.5
"429" "Tres_Marias" "0" -0.399999999999999
"430" "Tres_Marias" "0" -0.299999999999999
"431" "Tres_Marias" "0" -0.199999999999999
"432" "Tres_Marias" "0" -0.0999999999999996
"433" "Tres_Marias" "0" 0
"434" "Tres_Marias" "0" 0.100000000000001
"435" "Tres_Marias" "0" 0.200000000000001
"436" "Tres_Marias" "0" 0.300000000000001
"437" "Tres_Marias" "0" 0.4
"438" "Tres_Marias" "0" 0.5
"439" "Tres_Marias" "0.557845003657546" 0.600000000000001
"440" "Tres_Marias" "0.344778131383836" 0.700000000000001
"441" "Tres_Marias" "0.187389427980368" 0.800000000000001
"442" "Tres_Marias" "0.0991597557266023" 0.9
"443" "Tres_Marias" "0.0573821816789001" 1
"444" "Tres_Marias" "0.0396152510753731" 1.1
"445" "Tres_Marias" "0.0328996883581055" 1.2
"446" "Tres_Marias" "0.0310019678714238" 1.3
"447" "Tres_Marias" "0.0311108191474619" 1.4
"448" "Tres_Marias" "0.485765308126001" 1.5
"449" "Tres_Marias" "0.327075067472264" 1.6
"450" "Tres_Marias" "0.212296320091782" 1.7
"451" "Tres_Marias" "0.139842689132462" 1.8
"452" "Tres_Marias" "0.0967576872733724" 1.9
"453" "Tres_Marias" "0.313816445547684" 2
"454" "Tres_Marias" "0.226610470931334" 2.1
"455" "Tres_Marias" "0.165568682279158" 2.2
"456" "Tres_Marias" "0.123150685627988" 2.3
"457" "Tres_Marias" "0.314856039636262" 2.4
"458" "Tres_Marias" "0.252586391986311" 2.5
"459" "Tres_Marias" "0.203898330185183" 2.6
"460" "Tres_Marias" "0.165041175887062" 2.7
"461" "Tres_Marias" "0.132787832050326" 2.8
"462" "Tres_Marias" "1" 2.9
"463" "Tres_Marias" "1" 3
"464" "Tres_Marias" "1" 3.1
"465" "Tres_Marias" "1" 3.2
"466" "Tres_Marias" "1" 3.3
"467" "Tres_Marias" "1" 3.4
"468" "Tres_Marias" "1" 3.5
"469" "Pasi_Gusung_North_nonreserve2" "1" -12
"470" "Pasi_Gusung_North_nonreserve2" "1" -11.9
"471" "Pasi_Gusung_North_nonreserve2" "1" -11.8
"472" "Pasi_Gusung_North_nonreserve2" "1" -11.7
"473" "Pasi_Gusung_North_nonreserve2" "1" -11.6
"474" "Pasi_Gusung_North_nonreserve2" "1" -11.5
"475" "Pasi_Gusung_North_nonreserve2" "1" -11.4
"476" "Pasi_Gusung_North_nonreserve2" "1" -11.3
"477" "Pasi_Gusung_North_nonreserve2" "1" -11.2
"478" "Pasi_Gusung_North_nonreserve2" "1" -11.1
"479" "Pasi_Gusung_North_nonreserve2" "1" -11
"480" "Pasi_Gusung_North_nonreserve2" "1" -10.9
"481" "Pasi_Gusung_North_nonreserve2" "1" -10.8
"482" "Pasi_Gusung_North_nonreserve2" "1" -10.7
"483" "Pasi_Gusung_North_nonreserve2" "1" -10.6
"484" "Pasi_Gusung_North_nonreserve2" "1" -10.5
"485" "Pasi_Gusung_North_nonreserve2" "1" -10.4
"486" "Pasi_Gusung_North_nonreserve2" "1" -10.3
"487" "Pasi_Gusung_North_nonreserve2" "1" -10.2
"488" "Pasi_Gusung_North_nonreserve2" "1" -10.1
"489" "Pasi_Gusung_North_nonreserve2" "1" -10
"490" "Pasi_Gusung_North_nonreserve2" "1" -9.9
"491" "Pasi_Gusung_North_nonreserve2" "1" -9.8
"492" "Pasi_Gusung_North_nonreserve2" "1" -9.7
"493" "Pasi_Gusung_North_nonreserve2" "1" -9.6
"494" "Pasi_Gusung_North_nonreserve2" "1" -9.5
"495" "Pasi_Gusung_North_nonreserve2" "1" -9.4
"496" "Pasi_Gusung_North_nonreserve2" "1" -9.3
"497" "Pasi_Gusung_North_nonreserve2" "1" -9.2
"498" "Pasi_Gusung_North_nonreserve2" "1" -9.1
"499" "Pasi_Gusung_North_nonreserve2" "1" -9
"500" "Pasi_Gusung_North_nonreserve2" "1" -8.9
"501" "Pasi_Gusung_North_nonreserve2" "1" -8.8
"502" "Pasi_Gusung_North_nonreserve2" "1" -8.7
"503" "Pasi_Gusung_North_nonreserve2" "1" -8.6
"504" "Pasi_Gusung_North_nonreserve2" "1" -8.5
"505" "Pasi_Gusung_North_nonreserve2" "1" -8.4
"506" "Pasi_Gusung_North_nonreserve2" "1" -8.3
"507" "Pasi_Gusung_North_nonreserve2" "1" -8.2
"508" "Pasi_Gusung_North_nonreserve2" "1" -8.1
"509" "Pasi_Gusung_North_nonreserve2" "1" -8
"510" "Pasi_Gusung_North_nonreserve2" "1" -7.9
"511" "Pasi_Gusung_North_nonreserve2" "1" -7.8
"512" "Pasi_Gusung_North_nonreserve2" "1" -7.7
"513" "Pasi_Gusung_North_nonreserve2" "1" -7.6
"514" "Pasi_Gusung_North_nonreserve2" "1" -7.5
